key;SPM;iOSKey
Page_xyCategory_Button-Tag12;a2170.7897998.3.tag12;
Page_xyCategory_Button-Tag13;a2170.7897998.3.tag13;
Page_xyCategory_Button-Tag14;a2170.7897998.3.tag14;
Page_xyCategory_Button-Tag15;a2170.7897998.3.tag15;
Page_xyCategory_Button-Tag16;a2170.7897998.3.tag16;
Page_xyCategory_Button-Tag17;a2170.7897998.3.tag17;
Page_xyCategory_Button-Tag18;a2170.7897998.3.tag18;
Page_xyCategory_Button-Tag19;a2170.7897998.3.tag19;
Page_xyCategory_Button-Tag20;a2170.7897998.3.tag20;
Page_xyCategory_Button-Detail;a2170.7897998.4.1itme;
Page_xyDiscoveryFishPool_Button-Discovery;a2170.7905805.1.1;
Page_xyDiscoveryFishPool_Button-MyPool;a2170.7905805.1.2;
Page_xyDiscoveryFishPool_Button-GointoMyFishPool;a2170.7905805.6.1;
Page_xyDiscoveryFishPool_Button-Banner1;a2170.7905805.2.1;
Page_xyDiscoveryFishPool_Button-Banner2;a2170.7905805.2.2;
Page_xyDiscoveryFishPool_Button-Banner3;a2170.7905805.2.3;
Page_xyDiscoveryFishPool_Button-Banner4;a2170.7905805.2.4;
Page_xyDiscoveryFishPool_Button-Banner5;a2170.7905805.2.5;
Page_xyDiscoveryFishPool_Button-RefreshMap;a2170.7905805.3.1;
Page_xyDiscoveryFishPool_Button-GointoFishPool;a2170.7905805.3.2;
Page_xyDiscoveryFishPool_Button-GointoFishPoolList;a2170.7905805.3.3;
Page_xyDiscoveryFishPool_Button-MoreFishPool;a2170.7905805.3.4;
Page_xyDiscoveryFishPool_Button-RecommendFishPool;a2170.7905805.4.1;
Page_xyDiscoveryFishPool_Button-Activity1;a2170.7905805.7.1;
Page_xyDiscoveryFishPool_Button-Activity2;a2170.7905805.7.2;
Page_xyDiscoveryFishPool_Button-Activity3;a2170.7905805.7.3;
Page_xyDiscoveryFishPool_Button-Activity4;a2170.7905805.7.4;
Page_xyDiscoveryFishPool_Button-Activity5;a2170.7905805.7.5;
Page_xyDiscoveryFishPool_Button-FishPoolPit1;a2170.7905805.8.1;
Page_xyDiscoveryFishPool_Button-FishPoolPit2;a2170.7905805.8.2;
Page_xyDiscoveryFishPool_Button-FishPoolPit3;a2170.7905805.8.3;
Page_xyDiscoveryFishPool_Button-FishPoolPit4;a2170.7905805.8.4;
Page_xyDiscoveryFishPool_Button-HeadPortrait;a2170.7905805.5.1;
Page_xyDiscoveryFishPool_Button-Item;a2170.7905805.5.2;
Page_xyDiscoveryFishPool_Button-FishpondTag;a2170.7905805.5.3;
Page_xyDiscoveryFishPool_Button-CityTag;a2170.7905805.5.4;
Page_xyFishPool_Button-Search;a2170.7905806.1.2;
Page_xyFishPool_Button-diandian;a2170.7905806.1.4;
Page_xyFishPool_Button-Notice;a2170.7905806.2.3;
Page_xyFishPool_Button-Sharing;a2170.7905806.1.3;
Page_xyFishPool_Button-Level;a2170.7905806.2.1;
Page_xyFishPool_Button-Sign;a2170.7905806.2.2;
Page_xyFishPool_Button-Signed;a2170.7905806.2.3;
Page_xyFishPool_Button-GroupChat;a2170.7905806.2.4;
Page_xyFishPool_Button-FindFishPoolMaster;a2170.7905806.2.5;
Page_xyFishPool_Button-Manage;a2170.7905806.2.6;
Page_xyFishPool_Button-ApplyPoolMaster;a2170.7905806.2.7;
Page_xyFishPool_Button-Banner;a2170.7905806.2.9;
Page_xyFishPool_Button-Join;a2170.7905806.3.1;
Page_xyFishPool_Button-Item;a2170.7905806.3.2;
Page_xyFishPool_Button-CityTag;a2170.7905806.3.3;
Page_xySelectionItems;;FMSelectionViewController
Page_xySellerHome;a2170.7905591;FMPersonalPageViewController
Page_xyPersonal;a2170.7905589;FMAccountViewController
Page_xyFMAccountListViewController;;FMAccountListViewController
Page_xyRatelist;;FMReviewViewController
Page_xyRateDetail;;FMReviewDetailViewController
Page_xyRateWrite;;FMPostReviewViewController
Page_xySearchResult;a2170.8011571;FMPushLandingViewController
Page_xyCity;a2170.7905834.0.0;FMMyCityViewController
Page_xyRelease;;FMResellViewController
Page_xyRelease;;FMPostViewController
Page_xyRegister;;FMRegisterViewController
Page_xyMessageSetting;;FMMessageSettingViewController
Page_xyzhimaAuth;;FMZhimaInfoViewController
Page_xyBuyEditAdress;;FMDeliveryAddressViewController
Page_xyPersonalInfo;;FMAccountSettingViewController
Page_xyPersonalSet;a2170.7905594;FMSettingViewController
Page_xySearchResultFilter;;FMFilterViewController
Page_xyLogin;;aluTaobaoLoginViewController
Page_xyReleasePhotoAlbumPreview;;FMAlbumScrollViewController
Page_xyReleasePhotograph;;FMImagePickerViewController
Page_xyOnSale;a2170.7905592;
Page_xySoldOut;a2170.7905593;
Page_xyMyFavorite;a2170.7905595;FMMyFavorViewController
Page_xyCity-Button-Search;a2170.7905834.1,1;
Page_xyCity-Button-Banner1;a2170.7905834.5.1;
Page_xyCity-Button-Banner2;a2170.7905834.5.2;
Page_xyCity-Button-Item;a2170.7905834.6.1;
Page_xyCity-Button-FishpoolTag;a2170.7905834.6.2;
Page_xyBidList;;FMItemBidListViewController
Page_xyFMMessageChatViewController;;FMMessageChatViewController
Page_xyIM;a2170.7898116;
Page_xyFishPoolMasterSMS;a2170.7926763;
Page_xyFishPoolMasterSMS_Button-FishPool;a2170.7926763.1.1;
Page_xyFishPoolMasterSMS_Button-Precious;a2170.7926763.1.2;
Page_xyFishPoolPeopleMessage;a2170.7927644;FMFishpondMessageViewController
Page_xyFishPoolSubmitPrecious;a2170.7926764;
Page_xySearch_Fishpool;a2170.8011576;
Page_xySearchResult_Fishpool;a2170.8011578;FMSearchFishPondsViewController
Page_xyFishPoolTopicList;a2170.8008259;FMTopicListViewController
Page_xyFishPoolTopicList_Button-AllTopic;a2170.8008259.1.1;
Page_xyFishPoolTopicList_Button-MyRelevant;a2170.8008259.1.2;
Page_xyFishPoolTopicList_Button-MyPublished;a2170.8008259.1.3;
Page_xyFishPoolTopicList_Button-GroupChat;a2170.8008259.1.4;
Page_xyFishPoolTopicList_Button-HeadPortrait;a2170.8008259.1.5;
Page_xyFishPoolTopicList_Button-CardDetail;a2170.8008259.1.6;
Page_xyFishPoolTopicList_Button-CityTag;a2170.8008259.1.7;
Page_xyFishPoolTopicList_Button-FishpoolTag;a2170.8008259.1.8;
Page_xyFishPoolTopicList_Button-Comment;a2170.8008259.1.9;
Page_xyFishPoolTopicList_Button-Like;a2170.8008259.1.10;
Page_xyFishPoolTopicList_Button-CancelLike;a2170.8008259.1.11;
Page_xyFishPoolCreateTopic;a2170.8008260;FMPostSubjectViewController
Page_xyFishPoolTopicDetail;a2170.8008261;FMTopicDetailViewController
Page_xyFishPoolTopicDetail_Button-HeadPortrait;a2170.8008261.1.1;
Page_xyFishPoolTopicDetail_Button-CityTag;a2170.8008261.1.2;
Page_xyFishPoolTopicDetail_Button-FishpoolTag;a2170.8008261.1.3;
Page_xyFishPoolTopicDetail_Button-PlayVideo;a2170.8008261.1.4;
Page_xyFishPoolTopicDetail_Button-TopicPic;a2170.8008261.1.5;
Page_xyFishPoolTopicDetail_Button-Comment;a2170.8008261.1.6;
Page_xyFishPoolTopicDetail_Button-CommentPic;a2170.8008261.1.7;
Page_xyFishPoolTopicDetail_Button-SubmitComment;a2170.8008261.1.8;
Page_xyFishPoolTopicDetail_Button-Like;a2170.8008261.1.9;
Page_xyFishPoolTopicDetail_Button-CancelLike;a2170.8008261.1.10;
Page_xyFishPoolTopicDetail_Button-Share;a2170.8008261.1.11;
Page_xyFishPoolTopicDetail_Button-FooterDian;a2170.8008261.1.12;
Page_xyFishPoolTopicDetail_Button-Update;a2170.8008261.1.13;
Page_xyFishPoolTopicDetail_Button-Delete;a2170.8008261.1.14;
Page_xyFishPoolTopicDetail_Button-TopDian;a2170.8008261.1.15;
Page_xyFishPoolTopicDetail_Button-TopDianShare;a2170.8008261.1.16;
Page_xyFishPoolTopicDetail_Button-TopicReport;a2170.8008261.1.17;
Page_xyFishPoolTopicDetail_Button-Recommend;a2170.8008261.1.18;
Page_xyFishPoolTopicDetail_Button-TopicBlock;a2170.8008261.1.19;
Page_xyFishPoolTopicDetail_Button-Reply;a2170.8008261.1.20;
Page_xyFishPoolTopicDetail_Button-SubmitReply;a2170.8008261.1.21;
Page_xyFishPoolTopicDetail_Button-MessageBlock;a2170.8008261.1.22;
Page_xyFishPoolTopicDetail_Button-DeleteMessage;a2170.8008261.1.23;
